Category,Keyword,Title,URL Key,Description,Difficulty,Tags,Midjourney Prompt,DALL-E Prompt,Stable Diffusion Positive,Stable Diffusion Negative,Priority
Famous People,famous pop star singing,Pop Star Performer,famous-pop-star-singing,"A fun and engaging Pop Star Performer coloring page for kids! A pop star singing on stage with microphone. Perfect for ages 4-10, this printable coloring page features bold outlines that are easy for children to color. Great for kids who dream of being famous!",2,"famous,pop,star,singing","coloring page for kids, famous pop star singing, simple black and white line art, thick bold outlines, no shading, no color, white background, suitable for ages 4-8, high detail, professional illustration style, generic person without specific facial features --ar 4:3 --v 6 --style raw","A coloring page illustration for children featuring famous pop star singing. Black and white line art only, thick bold outlines, no shading or gray tones, clean white background, simple and fun design suitable for kids ages 4-10 to color with crayons. Generic person without recognizable features.","coloring book page, famous pop star singing, black and white line art, thick outlines, no shading, no color, white background, children's illustration, simple, professional, high quality, generic person, no specific facial features","color, shading, gradient, gray, shadows, watermark, text, signature, complex, photograph, realistic face, celebrity likeness, specific person",High
Famous People,movie star on red carpet,Movie Star Red Carpet,movie-star-on-red-carpet,"A fun and engaging Movie Star Red Carpet coloring page for kids! An elegant movie star walking the red carpet. Perfect for ages 4-10, this printable coloring page features bold outlines that are easy for children to color. Great for kids who dream of being famous!",2,"movie,star,on,red,carpet","coloring page for kids, movie star on red carpet, simple black and white line art, thick bold outlines, no shading, no color, white background, suitable for ages 4-8, high detail, professional illustration style, generic person without specific facial features --ar 4:3 --v 6 --style raw","A coloring page illustration for children featuring movie star on red carpet. Black and white line art only, thick bold outlines, no shading or gray tones, clean white background, simple and fun design suitable for kids ages 4-10 to color with crayons. Generic person without recognizable features.","coloring book page, movie star on red carpet, black and white line art, thick outlines, no shading, no color, white background, children's illustration, simple, professional, high quality, generic person, no specific facial features","color, shading, gradient, gray, shadows, watermark, text, signature, complex, photograph, realistic face, celebrity likeness, specific person",High
Famous People,famous athlete with trophy,Champion Athlete,famous-athlete-with-trophy,"A fun and engaging Champion Athlete coloring page for kids! A champion athlete holding a trophy. Perfect for ages 4-10, this printable coloring page features bold outlines that are easy for children to color. Great for kids who dream of being famous!",2,"famous,athlete,with,trophy","coloring page for kids, famous athlete with trophy, simple black and white line art, thick bold outlines, no shading, no color, white background, suitable for ages 4-8, high detail, professional illustration style, generic person without specific facial features --ar 4:3 --v 6 --style raw","A coloring page illustration for children featuring famous athlete with trophy. Black and white line art only, thick bold outlines, no shading or gray tones, clean white background, simple and fun design suitable for kids ages 4-10 to color with crayons. Generic person without recognizable features.","coloring book page, famous athlete with trophy, black and white line art, thick outlines, no shading, no color, white background, children's illustration, simple, professional, high quality, generic person, no specific facial features","color, shading, gradient, gray, shadows, watermark, text, signature, complex, photograph, realistic face, celebrity likeness, specific person",High
Famous People,rock star playing guitar,Rock Star Guitarist,rock-star-playing-guitar,"A fun and engaging Rock Star Guitarist coloring page for kids! A cool rock star playing electric guitar. Perfect for ages 4-10, this printable coloring page features bold outlines that are easy for children to color. Great for kids who dream of being famous!",2,"rock,star,playing,guitar","coloring page for kids, rock star playing guitar, simple black and white line art, thick bold outlines, no shading, no color, white background, suitable for ages 4-8, high detail, professional illustration style, generic person without specific facial features --ar 4:3 --v 6 --style raw","A coloring page illustration for children featuring rock star playing guitar. Black and white line art only, thick bold outlines, no shading or gray tones, clean white background, simple and fun design suitable for kids ages 4-10 to color with crayons. Generic person without recognizable features.","coloring book page, rock star playing guitar, black and white line art, thick outlines, no shading, no color, white background, children's illustration, simple, professional, high quality, generic person, no specific facial features","color, shading, gradient, gray, shadows, watermark, text, signature, complex, photograph, realistic face, celebrity likeness, specific person",High
Famous People,famous dancer performing,Professional Dancer,famous-dancer-performing,"A fun and engaging Professional Dancer coloring page for kids! A professional dancer in graceful pose. Perfect for ages 4-10, this printable coloring page features bold outlines that are easy for children to color. Great for kids who dream of being famous!",2,"famous,dancer,performing","coloring page for kids, famous dancer performing, simple black and white line art, thick bold outlines, no shading, no color, white background, suitable for ages 4-8, high detail, professional illustration style, generic person without specific facial features --ar 4:3 --v 6 --style raw","A coloring page illustration for children featuring famous dancer performing. Black and white line art only, thick bold outlines, no shading or gray tones, clean white background, simple and fun design suitable for kids ages 4-10 to color with crayons. Generic person without recognizable features.","coloring book page, famous dancer performing, black and white line art, thick outlines, no shading, no color, white background, children's illustration, simple, professional, high quality, generic person, no specific facial features","color, shading, gradient, gray, shadows, watermark, text, signature, complex, photograph, realistic face, celebrity likeness, specific person",High
Famous People,tv show host with microphone,TV Show Host,tv-show-host-with-microphone,"A fun and engaging TV Show Host coloring page for kids! A friendly TV show host with microphone. Perfect for ages 4-10, this printable coloring page features bold outlines that are easy for children to color. Great for kids who dream of being famous!",2,"tv,show,host,with,microphone","coloring page for kids, tv show host with microphone, simple black and white line art, thick bold outlines, no shading, no color, white background, suitable for ages 4-8, high detail, professional illustration style, generic person without specific facial features --ar 4:3 --v 6 --style raw","A coloring page illustration for children featuring tv show host with microphone. Black and white line art only, thick bold outlines, no shading or gray tones, clean white background, simple and fun design suitable for kids ages 4-10 to color with crayons. Generic person without recognizable features.","coloring book page, tv show host with microphone, black and white line art, thick outlines, no shading, no color, white background, children's illustration, simple, professional, high quality, generic person, no specific facial features","color, shading, gradient, gray, shadows, watermark, text, signature, complex, photograph, realistic face, celebrity likeness, specific person",High
Famous People,famous chef cooking,Celebrity Chef,famous-chef-cooking,"A fun and engaging Celebrity Chef coloring page for kids! A celebrity chef preparing delicious food. Perfect for ages 4-10, this printable coloring page features bold outlines that are easy for children to color. Great for kids who dream of being famous!",2,"famous,chef,cooking","coloring page for kids, famous chef cooking, simple black and white line art, thick bold outlines, no shading, no color, white background, suitable for ages 4-8, high detail, professional illustration style, generic person without specific facial features --ar 4:3 --v 6 --style raw","A coloring page illustration for children featuring famous chef cooking. Black and white line art only, thick bold outlines, no shading or gray tones, clean white background, simple and fun design suitable for kids ages 4-10 to color with crayons. Generic person without recognizable features.","coloring book page, famous chef cooking, black and white line art, thick outlines, no shading, no color, white background, children's illustration, simple, professional, high quality, generic person, no specific facial features","color, shading, gradient, gray, shadows, watermark, text, signature, complex, photograph, realistic face, celebrity likeness, specific person",High
Famous People,fashion model on runway,Fashion Model,fashion-model-on-runway,"A fun and engaging Fashion Model coloring page for kids! A fashionable model walking the runway. Perfect for ages 4-10, this printable coloring page features bold outlines that are easy for children to color. Great for kids who dream of being famous!",2,"fashion,model,on,runway","coloring page for kids, fashion model on runway, simple black and white line art, thick bold outlines, no shading, no color, white background, suitable for ages 4-8, high detail, professional illustration style, generic person without specific facial features --ar 4:3 --v 6 --style raw","A coloring page illustration for children featuring fashion model on runway. Black and white line art only, thick bold outlines, no shading or gray tones, clean white background, simple and fun design suitable for kids ages 4-10 to color with crayons. Generic person without recognizable features.","coloring book page, fashion model on runway, black and white line art, thick outlines, no shading, no color, white background, children's illustration, simple, professional, high quality, generic person, no specific facial features","color, shading, gradient, gray, shadows, watermark, text, signature, complex, photograph, realistic face, celebrity likeness, specific person",High
Famous People,famous musician with piano,Pianist Musician,famous-musician-with-piano,"A fun and engaging Pianist Musician coloring page for kids! A talented musician playing piano. Perfect for ages 4-10, this printable coloring page features bold outlines that are easy for children to color. Great for kids who dream of being famous!",2,"famous,musician,with,piano","coloring page for kids, famous musician with piano, simple black and white line art, thick bold outlines, no shading, no color, white background, suitable for ages 4-8, high detail, professional illustration style, generic person without specific facial features --ar 4:3 --v 6 --style raw","A coloring page illustration for children featuring famous musician with piano. Black and white line art only, thick bold outlines, no shading or gray tones, clean white background, simple and fun design suitable for kids ages 4-10 to color with crayons. Generic person without recognizable features.","coloring book page, famous musician with piano, black and white line art, thick outlines, no shading, no color, white background, children's illustration, simple, professional, high quality, generic person, no specific facial features","color, shading, gradient, gray, shadows, watermark, text, signature, complex, photograph, realistic face, celebrity likeness, specific person",High
Famous People,superhero movie star,Superhero Character,superhero-movie-star,"A fun and engaging Superhero Character coloring page for kids! A superhero character in heroic pose. Perfect for ages 4-10, this printable coloring page features bold outlines that are easy for children to color. Great for kids who dream of being famous!",2,"superhero,movie,star","coloring page for kids, superhero movie star, simple black and white line art, thick bold outlines, no shading, no color, white background, suitable for ages 4-8, high detail, professional illustration style, generic person without specific facial features --ar 4:3 --v 6 --style raw","A coloring page illustration for children featuring superhero movie star. Black and white line art only, thick bold outlines, no shading or gray tones, clean white background, simple and fun design suitable for kids ages 4-10 to color with crayons. Generic person without recognizable features.","coloring book page, superhero movie star, black and white line art, thick outlines, no shading, no color, white background, children's illustration, simple, professional, high quality, generic person, no specific facial features","color, shading, gradient, gray, shadows, watermark, text, signature, complex, photograph, realistic face, celebrity likeness, specific person",High
